path,exists,size_bytes,sha256,evidence_label,paper_use,notes
results/paper_stage2/rml2016a/cnn1d/seed_2025/predictions_test.csv,true,23304156,4565e5f446155999eb542ff1b95b5aaba880dbd597ff2f45216a2f79e35fd7b3,PROJECT_SUPPORTED,paired_statistics_source_large_hash_or_archive,Stage 5A artifact for cnn1d/seed_2025; large file; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_2025/confusion_overall.csv,true,608,034cd20d2453f4d8e6563e84f71ffd9c6c4515daa7189ea56f64434498ca7e80,PROJECT_SUPPORTED,appendix_confusion_source,Stage 5A artifact for cnn1d/seed_2025; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_2025/confusion_low_snr.csv,true,582,39568d154b6b494131b0ef3a4eb7800a24b949019010071536c452a614b9f502,PROJECT_SUPPORTED,low_snr_confusion_source,Stage 5A artifact for cnn1d/seed_2025; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_2025/complexity.json,true,551,2ff228a4e8e2b60bd2e67549503d48ed28dbc358bc5dcb6e52b0e1225e945c84,PROJECT_SUPPORTED,complexity_source,Stage 5A artifact for cnn1d/seed_2025; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_2025/latency.json,true,1435,dc0aba81b99fb727ffa3b3721c16a467bae479ee11e7d2c2f43ab10b0f428085,CONTROLLED_LATENCY,controlled_cuda_latency_source,Stage 5A artifact for cnn1d/seed_2025; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_2025/training_summary.json,true,346,d6845729474f6c77ea51d400ddcbf96563572a18687baf8fcb12aadeb72e88e1,PROJECT_SUPPORTED,training_audit_source,Stage 5A artifact for cnn1d/seed_2025; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/config_resolved.yaml,true,1007,aa9cc96fdc9ee50b0d169a3f7ffa98e8b326ce34396c01fd3b31e2e00a5235a4,PROJECT_SUPPORTED,run_reproducibility,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/metrics_test.json,true,496,30b24b31c94128fd0549062659c33568e85cd4c604ec5e4b14d819720eab0c99,PROJECT_SUPPORTED,main_metric_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/metrics_per_snr.csv,true,2443,ac0c5867f795c6c7bce2a7d1ef99f64c84d0f3ffbfc5e55c7675b2c71853c715,PROJECT_SUPPORTED,per_snr_curve_table_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
results/paper_stage2/rml2016a/cnn1d/seed_3407/metrics_per_class.csv,true,879,f1eeb3e62a9100eb2a4eaeeb02feebd6d5d4bd080f84653ff31aa3d7e1f95a9c,PROJECT_SUPPORTED,appendix_per_class_source,Stage 5A artifact for cnn1d/seed_3407; keep failed MCLDNN seeds
